,SPY,AAPL,MSFT,AMZN,TSLA,GOOGL,GOOG,FB,NVDA,BRK-B,JPM,JNJ,UNH,HD,PG,V,BAC,MA,PFE,XOM,DIS,CSCO,AVGO,ADBE,CVX,PEP,TMO,KO,ABBV,CMCSA,NFLX,ABT,ACN,COST,CRM,INTC,WFC,VZ,PYPL,WMT,QCOM,MRK,LLY,MCD,T,NKE,DHR,LOW,LIN,TXN,NEE,AMD,UNP,PM,INTU,UPS,HON,MS,MDT,BMY,AMAT,ORCL,SCHW,CVS,RTX,C,GS,AMGN,BLK,BA,CAT,IBM,SBUX,AMT,PLD,GE,ISRG,COP,TGT,ANTM,AXP,DE,MU,SPGI,MMM,NOW,BKNG,F,ADP,ZTS,LRCX,PNC,MDLZ,MO,ADI,GILD,LMT,SYK,GM,TFC,TJX
2021/10/21,0.002608262,0.001473845,0.010897464,0.005841757,0.032571047,0.000825317,0.002566464,0.003227907,0.026647912,-0.002330456,-0.007843509,-0.002320221,0.016525318,0.017837693,-0.007196877,-0.005098916,-0.005521346,-0.001569636,0.001401889,-0.018167549,0.004632033,-0.009074785,0.009344494,0.009946674,-0.012548626,-0.013204414,0.004639975,-0.005125425,0.003228481,-0.012429198,0.044821892,0.014110798,0.003817243,0.015880148,-0.000965213,0.011377991,0.003389225,-0.004103776,-0.058639029,0.005547916,0.006734334,0.0012335,-0.01046283,0.007008147,-0.005789199,0.02354048,-0.012959822,0.010710652,0.000289155,0.009579655,-0.001310832,0.025259923,0.014341444,-0.005153615,0.013706521,0.021355082,0.00393486,-0.003775152,-0.001149524,-0.004477266,-0.004776782,-0.003518169,0.007966666,0.009413103,-0.000763564,-0.018240059,-0.000735583,-0.00319561,0.000874934,-0.008465568,-0.010039665,-0.09563076,0.005094017,0.010867972,0.010598219,-0.026886834,-0.000500244,-0.018810926,0.009450844,0.014998268,-0.011859755,-0.003255368,0.005419771,0.011076797,-0.001644549,0.007678703,0.011303657,0.031795357,0.007791608,0.0111967,-0.017824928,-0.000329005,-0.002156308,-0.004129669,0.010682844,0.001944358,0.005415956,0.009789471,0.012831658,-0.004696299,0.012840564
2021/10/22,-0.001036175,-0.005284887,-0.005148662,-0.028954781,0.017539142,-0.030443417,-0.029104151,-0.050514857,0.001498358,0.008437288,0.013451258,0.001958474,0.015555761,0.003757314,0.010765808,0.004299819,0.015801809,0.006906156,0.006999543,0.006859141,-0.011205779,-0.01041474,0.002450513,0.007703699,0.009486316,0.004963038,0.005835003,0.00184002,0.003493873,0.003516639,0.017790521,0.013354665,0.019215312,0.009974178,0.009488976,-0.116785737,0.006556665,-0.008615796,-0.011553854,0.010421637,-0.010747892,-0.000246415,0.010697807,-0.012261741,-0.010481402,0.00801579,0.008495912,0.00593618,0.00912272,-0.011028838,0.007278427,0.004106242,0.027282994,0.003729799,0.02152673,0.021911327,-0.031712133,0.015157603,0.01183724,-0.003632656,0.01942395,0.020249187,0.015929015,0.007598389,0.002728968,0.012196867,0.016511693,0.001196186,0.012448494,-0.006391691,-0.001890289,-0.003506586,0.000961201,0.019387929,-0.006485456,0.008725187,0.005564833,0.015149639,0.006766052,0.006807453,0.054150064,-0.006473623,-0.016462747,0.011337077,-0.007247952,0.000451668,-0.006859769,-0.016314021,0.014158625,-0.000527248,0.002376633,0.015747683,0.005984095,-0.000207336,-0.002181127,0.003731842,0.003912681,-0.002568299,-0.010957017,0.013526306,-0.008039534
2021/10/25,0.005362786,-0.000336268,-0.003331568,-0.004550953,0.126615946,-0.00086872,0.001067614,0.012568982,0.019361078,0.003526551,-0.004889955,0.002198836,0.000734685,0.014399376,0.000142046,0.011460503,-0.001261275,0.006105731,-0.000231729,0.019486676,0.01528743,0.000544348,0.012921889,0.005267338,0.009308501,-0.004688466,-0.006879546,-0.004040482,-0.005863989,-0.002582049,0.010349204,-0.001104823,0.007490262,0.016826123,0.004648673,-0.001010865,-0.000789621,-0.006612497,0.026955121,0.011594997,0.00235519,0.006284706,0.005333392,-0.004613375,0.005884664,0.004526582,-0.023230567,0.013332181,0.008053483,0.005676367,-0.001539899,0.021198472,0.011322012,-0.003509436,0.019905275,0.00044157,0.000644005,0.001080562,0.00381835,0.0036459,-0.001250625,-0.003664101,-0.007899483,0.001828195,-0.006096212,-0.007566139,0.001037899,-0.007694478,0.010677961,-0.000469578,0.007774796,-0.001876705,0.001396738,0.000456937,0.007638984,0.012013479,0.00606116,0.010565035,0.017270417,0.002815318,-0.025497186,0.035249975,0.018515833,-0.006925764,0.008849545,0.00320389,0.007679766,-0.017199114,0.001469615,0.014435755,-0.008567784,0.002221425,-0.002974218,-0.005599305,0.011770026,0.006395091,0.00461822,-0.009719751,-0.000173137,0.002017377,0.017144597
2021/10/26,0.000900021,0.004574859,0.006425744,0.016775224,-0.006274021,0.013543395,0.006478198,-0.039185874,0.066951573,0.002032648,0.002691009,0.010177971,0.011457458,-0.005548667,0.014199502,-0.008807941,0.009471631,-0.00980984,0.009501755,0.023154571,0.000174401,0.012150918,0.022602293,-0.006909085,0.002195831,0.01224726,0.000970827,0.004425636,0.009124381,-0.005917247,-0.004674915,0.012245249,-0.000280524,-0.009324634,0.004048625,-0.022869867,0.000197599,0.009509347,-0.015716157,-0.008729752,7.59E-05,0.007225012,0.013833911,-0.00387625,-0.010530381,-0.002618446,0.002711454,-0.003235269,0.00028417,-0.016083903,0.013999292,0.004658383,0.001831208,-0.003521876,0.010040468,0.069494884,0.00358561,0.015307603,0.0039657,0.007438114,-0.027695797,-0.009296144,0.002050856,0.007299263,-0.023439189,-0.002541382,0.006895682,0.005057007,0.007396737,-0.01437496,-0.012709595,-0.003995648,0.001830707,0.008293,0.00778769,0.020322836,0.014872423,0.006665059,-0.006222461,0.003865944,-0.007459836,-0.032802199,0.00261782,0.038558659,-0.001315733,-0.017623509,0.012453501,-0.003750038,0.003347484,-0.004727698,-0.00548934,-0.002262626,0.008120638,0.003336742,-0.003545313,0.000886742,-0.118034637,0.000476112,-0.006752067,-0.002013316,0.001072643
2021/10/27,-0.004430171,-0.003147599,0.042114232,0.00486362,0.019078378,0.049595028,0.048366928,-0.011367583,-0.01076186,-0.010555294,-0.02082843,-0.012126683,-0.002551449,0.008450697,-0.007140387,-0.069191667,-0.019182555,-0.060449999,-0.013544523,-0.025972011,-0.014473322,0.006629631,-0.020154803,-0.00376651,-0.01779134,-0.003474608,0.006493003,0.019276659,-0.009955234,-0.024553561,-0.008376767,-0.003277936,-0.006426474,0.007373325,0.000135572,-0.008077871,-0.011455679,-0.008477809,-0.033168714,-0.008201754,-0.005608726,-0.008632169,0.006963431,0.026689776,-0.012219203,-0.008791697,-0.005506145,0.003029372,0.006945149,-0.050157362,-0.005381983,-0.005287574,-0.005566635,-0.013825309,0.007426779,-0.026872113,-0.011909166,-0.015463409,-0.012494984,-0.03004803,0.001212137,-0.009795871,-0.022995364,-0.002604205,0,-0.004812475,-0.015852154,-0.010063199,-0.015361023,-0.01525188,-0.01758162,-0.01541728,-0.0122694,-0.005297253,-0.016207322,-0.033414011,0.000802979,-0.027948287,-0.008464354,-0.005868272,-0.016136968,-0.008559289,-0.010153792,-0.004347628,-0.021519517,-0.017658985,-0.006115333,-0.026976118,0.014396705,-0.004465108,0.008525498,-0.014624918,-0.00723333,-0.012679266,-0.052368193,-0.014174052,-0.002922465,-0.01713155,-0.054209529,-0.02219127,-0.011786434
2021/10/28,0.009648827,0.024991536,0.003651269,0.015941116,0.037750809,-0.002520258,-0.002038541,0.015053527,0.020040138,0.006741269,0.015074765,-0.005435401,0.004322098,-0.002014414,0.005993026,-0.027528056,0.015731264,-0.008012593,0.00488711,0.002806788,0.000766674,0.00106803,0.012349351,-0.001249825,0.009369135,0.006288517,0.012706375,0.009366,0.011715879,-0.010297462,0.016789364,0,0.006411523,0.004525766,0.010943625,0.003967475,0.02617384,0.003230101,0.008044604,0.006235985,0.018978767,0.061442299,0.012711357,0.011411866,0.019553015,0.012996624,-0.002194964,-4.32E-05,-0.003166494,0.004115379,0.016586231,-0.009159267,0.012198187,0.011594802,0.003718604,0.007963786,0.01279436,0.013146208,-0.010040811,0.011329392,0.029206988,0.002082732,0.010351188,0.006016647,0.000336454,0.008107012,0.00931899,0.002856013,0.019852397,0.006001672,0.040585281,0.005352676,-0.002731113,0.002067068,0.019532787,0.013577287,0.018998149,0.009673548,0.00654859,-0.000737908,-0.019210245,0.033911887,0.019636642,0.014937345,0.009144856,0.034508698,0.000691874,0.087040647,0.004460488,0.01595565,0.022271557,0.000657526,0.009273091,-0.061473602,0.011732967,0.008536791,0.0013598,-0.000223345,-0.000368534,0.013966078,0.009913258
2021/10/29,0.002029113,-0.018155584,0.022414028,-0.021511281,0.034316237,0.015063505,0.014654803,0.020983193,0.025099225,-0.009353829,-0.002758919,0.000184192,0.011044251,0.000457467,0.002172784,0.009197542,0,0.007476768,0.012969033,0.002488019,-0.003594916,-0.004800905,0.0039654,0.017331929,0.012110968,-0.000123659,0.020965446,0.005888662,0.045591299,-0.009055831,0.024122854,0.009239603,0.006932,0.002059017,0.004390366,0.019134702,-0.00389407,0.003598528,-0.01790316,0.006534291,-0.004862112,0.017330996,0.005565381,0.000203683,-0.011350259,0.017207726,0.023639844,0.008888561,0.003899958,0.004070318,-0.012612777,-0.007675803,-0.003714457,-0.014900506,0.01719182,-0.00201029,0.000640752,0.002731695,-0.011626967,0.022230022,0.004631543,-0.003013598,0.000487846,0.007447484,-0.003699923,-0.017194814,-0.003543699,-0.000965385,0.008530376,-0.003945188,-0.000391993,-0.005880437,-0.062985797,-0.014125332,-0.011658748,-0.003705085,0.015522679,-0.008782521,0.005421733,0.004084407,-0.004753477,-0.021132482,-0.006898583,0.009903928,-0.006615865,0.014628468,-0.003699935,0.01304858,0.00695255,0.01659848,-0.004205261,-0.009481345,-0.003445388,-0.010542894,0.005972352,-0.036531044,0.002806344,-0.008828779,0.003502924,-0.006573789,0.004447915
2021/11/1,0.001720257,-0.005607475,-0.006784841,-0.016107028,0.084910203,-0.03072693,-0.030326307,0.019810253,0.010169315,-0.002682901,-0.000529746,0.000859497,-0.013811977,-0.014149611,-0.002447766,0.003258225,0.001465034,-0.004381274,-0.002286299,0.017992773,0.006624446,0.002322667,-0.006808725,-0.015622076,0.000349377,-0.002104086,0.003206487,-0.003548031,0.00122092,0.016138329,-0.013240449,0.000388013,-0.009671401,0.000671332,0.010243943,0.011224453,0.010750537,-0.000754937,-0.005632218,0.002476131,0.013304286,-0.002385057,-0.02139267,0.020484587,0.00435478,-0.005738476,-0.006703694,-0.008852995,0.011810685,-5.33E-05,0.003046954,0.041586957,-0.008036407,-0.011846889,-0.027444555,-0.012039201,0.005214559,0.011870026,0.003086956,0.004794476,0.020929395,-0.016260199,-0.001950432,0.015345013,-0.003488603,0.006506607,0.008104546,0.013625102,-0.007663316,0.03646816,0.006715408,0.009432446,0.035165488,0.000461065,-0.001586688,0.012968439,-0.016891441,0.001342469,-0.006547922,-0.014639284,0.002474399,0.048026665,0.023154755,-0.023156792,0.005037001,-0.022615268,0.028465995,0.050936843,-0.010468173,-0.01202586,0.016306733,-0.001848082,0.002798785,-0.001360297,0.008646038,0.011713925,-0.004182829,0.008757011,0.01947458,0.015125233,0.01771264
2021/11/2,0.004043053,0.007116012,0.011415762,-0.00161541,-0.030274921,0.013488074,0.014529758,-0.005757999,0.022224888,0.005904145,0.003945865,0.015764891,-0.00455835,0.002210152,0.009955119,-0.015626459,0.000626987,-0.016674099,0.041475713,-0.012341868,-0.002115286,0.027094498,0.017081795,0.000312421,-0.006111863,0.009177796,0.001732093,-0.001246226,0.014981241,0.007271416,-0.005064833,-0.009539326,0.017392809,0.010409245,0.000627568,0.006256352,-0.007928786,-0.007176594,-0.007869215,-0.000467206,0.003115558,0.013433479,0.030243462,-0.005347528,-0.005518367,0.009018251,0.011528049,0.005523188,0.014242827,0.009974903,-0.001986215,0.019164688,0.004092534,0.006422556,0.015735645,-0.008345167,0.006507083,0.006346189,0.008899653,-0.000852057,0.012185655,0.015787287,-0.001221543,0.00551572,-0.008469816,-0.01450944,0.017158606,0.021307029,0.012411479,-0.008435071,0.008472053,-0.000791906,0.015027232,0.001949627,0.015891675,0.0043302,0.015040972,-0.020914277,0.009072575,-0.019964563,-0.005969823,-0.009616789,0.00084877,-0.004317916,0.013308776,0.006759797,-0.014403345,0.003342546,0.013640001,-0.00655435,0.002583956,-0.002563536,0.007387967,0.002270191,0.016858058,0.003960994,-0.013960663,0.015834576,0.001802099,-0.002017631,0.010052565
2021/11/3,0.006105267,0.009798742,0.002611492,0.021507811,0.035716711,0.008014048,0.006355292,0.010790078,0.007461832,0.002743752,0.000351902,-0.003200672,0.011702491,0.004574084,0.006872175,-0.004972697,0.010233897,0.002892034,-0.013861414,-0.013730315,0.00147206,0.000520703,0.009868331,0.023079275,-0.007203723,0.009585847,0.009698151,0.003386872,0.008924748,0.00588904,0.015596423,0.007751866,0.001659754,0.010744676,-0.000198044,0.010629778,0.013645222,0.007038265,0.004009405,0.003072334,0.024033031,-0.003819309,0.036636179,0.004654048,-0.001981743,0.027825773,-0.007661501,0.00544996,0.002564389,-0.000792193,-0.002107242,0.022721943,-0.004075853,0.007551681,0.007244599,0.017213374,0.007278814,-0.019587263,-0.000989341,0.012450984,0.010905657,0.002920595,0.01907793,0.056939053,0.00990883,0.005830926,-0.014037977,0.01806219,0.004061837,0.002866948,-0.017236347,0.007528937,0.010408273,-0.007252742,0.004216784,-0.006748504,0.003107903,-0.003971002,0.000576292,0.010542608,-0.003233792,-0.034477922,0.006924721,-0.01329203,0.001428823,0.001572927,-0.007539234,0.034425319,0.002575889,-0.005042375,0.012468703,0.012374984,0.015971294,0.018346531,0.004833097,0.022913553,0.015445478,-0.00289756,0.007375424,0.013063743,0.016488335
